submission_timestamp,customer_name,customer_email,description,status,closed_timestamp,employee_name
1465876204,Paula Elliott,triley0@un.org,"Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",closed,1464534052,Thomas Riley
1477967014,Kathy Grant,rtucker1@adobe.com,Nulla tellus. In sagittis dui vel nisl.,open,1476188332,Raymond Tucker
1463318873,Carl Allen,jpowell2@census.gov,"Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",open,1469934008,Jason Powell
1461132319,Eugene Stevens,pcruz3@earthlink.net,Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.,open,1481828692,Patricia Cruz
1474449965,Wayne Powell,bhenry4@berkeley.edu,"In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.",closed,1476362065,Bonnie Henry
1480868852,Joe Thompson,rlittle5@smugmug.com,In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt.,open,1480933845,Rachel Little
1467178151,Judy Knight,aromero6@csmonitor.com,"Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",open,1469618664,Alan Romero
1454054448,Paul Palmer,jaustin7@hexun.com,In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh.,closed,1479186197,Jeremy Austin
1459212662,Chris Gardner,sprice8@scientificamerican.com,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",closed,1461420515,Sean Price
1481708694,William Ruiz,mspencer9@salon.com,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo.,open,1479184213,Michael Spencer
1467465182,Debra Washington,pfergusona@fastcompany.com,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,open,1475153570,Paul Ferguson
